"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2022-08-15,08:00:00,17:00:00,+08:00,32400,0,not specified,"90377"
work,2022-11-22,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2022-04-23,08:00:00,15:00:00,+08:00,25200,0,not specified,"74556"
work,2023-04-18,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159217"
work,2022-09-20,08:00:00,15:00:00,+08:00,25200,0,not specified,"83885"
work,2022-04-11,15:00:00,22:00:00,+08:00,25200,0,not specified,"74049"
work,2023-05-14,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2022-02-25,08:30:00,14:30:00,+08:00,21600,0,not specified,"87864"
work,2022-01-26,17:00:00,22:00:00,+08:00,18000,0,not specified,"74639"
work,2022-05-16,15:00:00,22:00:00,+08:00,25200,0,not specified,"120694"
work,2022-10-29,15:00:00,22:00:00,+08:00,25200,0,not specified,"74049"
work,2022-06-06,15:00:00,22:00:00,+08:00,25200,0,not specified,"83884"
work,2023-02-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"159207"
work,2023-05-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2022-07-09,08:00:00,15:00:00,+08:00,25200,0,not specified,"79765"
